Accession (Identificador),Begin (Inicio de la trasnscripción),End (final de la transcripción),Orientation,Name (Alias),Symbol,Gene Type,Protein accession (Posible identificador de la proteína),Protein name (Product),Protein length,Locus tag
NZ_CP009124.1,6110586,6111782,plus,apical growth/hyphal branching protein DivIVA,divIVA,protein-coding,WP_003976738.1,apical growth/hyphal branching protein DivIVA,398,SLIV_RS27320
NZ_CP009124.1,6111984,6115127,minus,isoleucine--tRNA ligase,ileS,protein-coding,WP_003976739.1,isoleucine--tRNA ligase,1047,SLIV_RS27325
NZ_CP009124.1,6115681,6116400,plus,TraR/DksA family transcriptional regulator,,protein-coding,WP_003976740.1,TraR/DksA family transcriptional regulator,239,SLIV_RS27330
NZ_CP009124.1,6116469,6117077,plus,signal peptidase II,lspA,protein-coding,WP_003976741.1,signal peptidase II,202,SLIV_RS27335
NZ_CP009124.1,6117203,6118147,plus,RluA family pseudouridine synthase,,protein-coding,WP_003976742.1,RluA family pseudouridine synthase,314,SLIV_RS27340
NZ_CP009124.1,6118144,6118632,plus,GNAT family N-acetyltransferase,,protein-coding,WP_016325999.1,GNAT family N-acetyltransferase,162,SLIV_RS27345
NZ_CP009124.1,6118721,6120307,plus,Na+/H+ antiporter,,protein-coding,WP_011028126.1,Na+/H+ antiporter,528,SLIV_RS27350
NZ_CP009124.1,6120329,6121477,minus,mechanosensitive ion channel family protein,,protein-coding,WP_003976745.1,mechanosensitive ion channel family protein,382,SLIV_RS27355
NZ_CP009124.1,6121583,6122173,plus,dienelactone hydrolase family protein,,protein-coding,WP_003976746.1,dienelactone hydrolase family protein,196,SLIV_RS27360
NZ_CP009124.1,6122158,6123813,minus,alkaline phosphatase D family protein,,protein-coding,WP_003976747.1,alkaline phosphatase D family protein,551,SLIV_RS27365
NZ_CP009124.1,6123944,6124744,minus,DsbA family protein,,protein-coding,WP_003976748.1,DsbA family protein,266,SLIV_RS27370
NZ_CP009124.1,6124842,6125552,minus,hypothetical protein,,protein-coding,WP_003976749.1,hypothetical protein,236,SLIV_RS27375
NZ_CP009124.1,6125639,6126979,minus,DUF2252 domain-containing protein,,protein-coding,WP_003976750.1,DUF2252 domain-containing protein,446,SLIV_RS27380
NZ_CP009124.1,6127182,6130721,plus,DNA polymerase III subunit alpha,dnaE,protein-coding,WP_003976751.1,DNA polymerase III subunit alpha,1179,SLIV_RS27385
NZ_CP009124.1,6130788,6130955,minus,hypothetical protein,,protein-coding,WP_003976752.1,hypothetical protein,55,SLIV_RS40330
NZ_CP009124.1,6131180,6132391,plus,NYN domain-containing protein,,protein-coding,WP_011028124.1,NYN domain-containing protein,403,SLIV_RS27395
NZ_CP009124.1,6132559,6133533,plus,ABC transporter ATP-binding protein,,protein-coding,WP_011028123.1,ABC transporter ATP-binding protein,324,SLIV_RS27400
NZ_CP009124.1,6133641,6134465,plus,ABC transporter permease,,protein-coding,WP_003976755.1,ABC transporter permease,274,SLIV_RS27405
NZ_CP009124.1,6134500,6135216,plus,hypothetical protein,,protein-coding,WP_003976756.1,hypothetical protein,238,SLIV_RS27410
NZ_CP009124.1,6135348,6135857,minus,Cys-tRNA(Pro) deacylase,ybaK,protein-coding,WP_003976757.1,Cys-tRNA(Pro) deacylase,169,SLIV_RS27415
NZ_CP009124.1,6135871,6136611,minus,LON peptidase substrate-binding domain-containing protein,,protein-coding,WP_003976758.1,LON peptidase substrate-binding domain-containing protein,246,SLIV_RS27420
NZ_CP009124.1,6136623,6137753,minus,hypothetical protein,,protein-coding,WP_016325996.1,hypothetical protein,376,SLIV_RS27425
NZ_CP009124.1,6138053,6139630,minus,hypothetical protein,,protein-coding,WP_016325995.1,hypothetical protein,525,SLIV_RS27430
NZ_CP009124.1,6139830,6141155,plus,histidinol dehydrogenase,hisD,protein-coding,WP_003976761.1,histidinol dehydrogenase,441,SLIV_RS27435
NZ_CP009124.1,6141152,6142261,plus,histidinol-phosphate transaminase,,protein-coding,WP_003976762.1,histidinol-phosphate transaminase,369,SLIV_RS27440
NZ_CP009124.1,6142258,6142851,plus,imidazoleglycerol-phosphate dehydratase HisB,hisB,protein-coding,WP_003976763.1,imidazoleglycerol-phosphate dehydratase HisB,197,SLIV_RS27445
NZ_CP009124.1,6142855,6143019,plus,hypothetical protein,,protein-coding,WP_003976764.1,hypothetical protein,54,SLIV_RS40335
NZ_CP009124.1,6143016,6143684,plus,imidazole glycerol phosphate synthase subunit HisH,hisH,protein-coding,WP_003976765.1,imidazole glycerol phosphate synthase subunit HisH,222,SLIV_RS27455
NZ_CP009124.1,6143702,6144424,plus,bifunctional 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase/phosphoribosylanthranilate isomerase PriA,priA,protein-coding,WP_003976766.1,bifunctional 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase/phosphoribosylanthranilate isomerase PriA,240,SLIV_RS27460
NZ_CP009124.1,6144441,6144845,plus,RidA family protein,,protein-coding,WP_003976767.1,RidA family protein,134,SLIV_RS27465
NZ_CP009124.1,6144842,6145597,plus,imidazole glycerol phosphate synthase subunit HisF,hisF,protein-coding,WP_003976768.1,imidazole glycerol phosphate synthase subunit HisF,251,SLIV_RS27470
NZ_CP009124.1,6145681,6146268,plus,ArsR/SmtB family transcription factor,,protein-coding,WP_003976769.1,ArsR/SmtB family transcription factor,195,SLIV_RS27475
NZ_CP009124.1,6146261,6147532,plus,MFS transporter,,protein-coding,WP_016325994.1,MFS transporter,423,SLIV_RS27480
NZ_CP009124.1,6147543,6148178,minus,TIGR03085 family metal-binding protein,,protein-coding,WP_003976771.1,TIGR03085 family metal-binding protein,211,SLIV_RS27485
NZ_CP009124.1,6148260,6148646,plus,phosphoribosyl-AMP cyclohydrolase,hisI,protein-coding,WP_003976772.1,phosphoribosyl-AMP cyclohydrolase,128,SLIV_RS27490
NZ_CP009124.1,6148676,6150166,plus,anthranilate synthase component I,,protein-coding,WP_003976773.1,anthranilate synthase component I,496,SLIV_RS27495
NZ_CP009124.1,6150250,6150885,plus,TIGR02234 family membrane protein,,protein-coding,WP_016325993.1,TIGR02234 family membrane protein,211,SLIV_RS27500
NZ_CP009124.1,6151043,6151294,plus,HGxxPAAW family protein,,protein-coding,WP_003976775.1,HGxxPAAW family protein,83,SLIV_RS27505
NZ_CP009124.1,6151397,6151843,plus,DUF2752 domain-containing protein,,protein-coding,WP_003976776.1,DUF2752 domain-containing protein,148,SLIV_RS27510
NZ_CP009124.1,6151961,6152770,plus,indole-3-glycerol phosphate synthase TrpC,trpC,protein-coding,WP_003976777.1,indole-3-glycerol phosphate synthase TrpC,269,SLIV_RS27515
NZ_CP009124.1,6152791,6152982,plus,tryptophan biosynthesis modulator TrpM,trpM,protein-coding,WP_003976778.1,tryptophan biosynthesis modulator TrpM,63,SLIV_RS27520
NZ_CP009124.1,6153097,6154380,plus,tryptophan synthase subunit beta,trpB,protein-coding,WP_003976779.1,tryptophan synthase subunit beta,427,SLIV_RS27525
NZ_CP009124.1,6154377,6155192,plus,tryptophan synthase subunit alpha,trpA,protein-coding,WP_003976780.1,tryptophan synthase subunit alpha,271,SLIV_RS27530
NZ_CP009124.1,6155294,6156067,plus,DsbA family protein,,protein-coding,WP_016325992.1,DsbA family protein,257,SLIV_RS27535
NZ_CP009124.1,6156144,6157175,plus,prolipoprotein diacylglyceryl transferase,lgt,protein-coding,WP_003976782.1,prolipoprotein diacylglyceryl transferase,343,SLIV_RS27540
NZ_CP009124.1,6157249,6158073,minus,HpcH/HpaI aldolase/citrate lyase family protein,,protein-coding,WP_011028109.1,HpcH/HpaI aldolase/citrate lyase family protein,274,SLIV_RS27545
NZ_CP009124.1,6158070,6159284,minus,CaiB/BaiF CoA transferase family protein,,protein-coding,WP_003976783.1,CaiB/BaiF CoA transferase family protein,404,SLIV_RS27550
NZ_CP009124.1,6159242,6160645,minus,ADP-ribosylglycohydrolase family protein,,protein-coding,WP_003976784.1,ADP-ribosylglycohydrolase family protein,467,SLIV_RS27555
NZ_CP009124.1,6160633,6161811,minus,ADP-ribosylglycohydrolase family protein,,protein-coding,WP_003976785.1,ADP-ribosylglycohydrolase family protein,392,SLIV_RS27560
NZ_CP009124.1,6161808,6163085,minus,ADP-ribosylglycohydrolase family protein,,protein-coding,WP_003976786.1,ADP-ribosylglycohydrolase family protein,425,SLIV_RS27565
NZ_CP009124.1,6163607,6164590,minus,uncharacterized gene,,pseudogene,,,,SLIV_RS27570
NZ_CP009124.1,6164825,6165556,plus,VIT1/CCC1 transporter family protein,,protein-coding,WP_003976789.1,VIT1/CCC1 transporter family protein,243,SLIV_RS27575
NZ_CP009124.1,6165997,6170541,plus,glutamate synthase large subunit,gltB,protein-coding,WP_016325989.1,glutamate synthase large subunit,1514,SLIV_RS27580
NZ_CP009124.1,6170534,6171997,plus,glutamate synthase subunit beta,,protein-coding,WP_003976791.1,glutamate synthase subunit beta,487,SLIV_RS27585
NZ_CP009124.1,6172138,6173046,minus,chitosanase,,protein-coding,WP_016325988.1,chitosanase,302,SLIV_RS27590
NZ_CP009124.1,6173060,6173995,minus,rhomboid family intramembrane serine protease,,protein-coding,WP_003976793.1,rhomboid family intramembrane serine protease,311,SLIV_RS27595
NZ_CP009124.1,6174150,6174875,plus,vWA domain-containing protein,,protein-coding,WP_016325987.1,vWA domain-containing protein,241,SLIV_RS27600
NZ_CP009124.1,6174937,6175566,minus,SIMPL domain-containing protein,,protein-coding,WP_030866633.1,SIMPL domain-containing protein,209,SLIV_RS27605
NZ_CP009124.1,6175607,6176506,minus,hypothetical protein,,protein-coding,WP_003976796.1,hypothetical protein,299,SLIV_RS27610
NZ_CP009124.1,6176641,6176991,plus,chorismate mutase,,protein-coding,WP_003976797.1,chorismate mutase,116,SLIV_RS27615
NZ_CP009124.1,6177121,6179619,plus,aminopeptidase N,pepN,protein-coding,WP_016325986.1,aminopeptidase N,832,SLIV_RS27620
NZ_CP009124.1,6179781,6181139,plus,pyridoxal phosphate-dependent decarboxylase family protein,,protein-coding,WP_016325985.1,pyridoxal phosphate-dependent decarboxylase family protein,452,SLIV_RS27625
NZ_CP009124.1,6181136,6182548,plus,lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein,,protein-coding,WP_003976800.1,lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein,470,SLIV_RS27630
NZ_CP009124.1,6182567,6184375,minus,bifunctional metallophosphatase/5'-nucleotidase,,protein-coding,WP_003976801.1,bifunctional metallophosphatase/5'-nucleotidase,602,SLIV_RS27635
NZ_CP009124.1,6184592,6186028,plus,pyruvate kinase,pyk,protein-coding,WP_003976802.1,pyruvate kinase,478,SLIV_RS27640
NZ_CP009124.1,6186407,6186479,minus,tRNA-Leu,,tRNA,,,,SLIV_RS27645
NZ_CP009124.1,6186586,6187242,plus,ANTAR domain-containing response regulator,,protein-coding,WP_003976804.1,ANTAR domain-containing response regulator,218,SLIV_RS27650
NZ_CP009124.1,6187318,6188034,minus,ABC transporter ATP-binding protein,,protein-coding,WP_003976805.1,ABC transporter ATP-binding protein,238,SLIV_RS27655
NZ_CP009124.1,6188031,6188960,minus,ABC transporter ATP-binding protein,,protein-coding,WP_003976806.1,ABC transporter ATP-binding protein,309,SLIV_RS27660
NZ_CP009124.1,6188966,6190792,minus,branched-chain amino acid ABC transporter permease,,protein-coding,WP_037666735.1,branched-chain amino acid ABC transporter permease,608,SLIV_RS27665
NZ_CP009124.1,6190798,6191730,minus,branched-chain amino acid ABC transporter permease,,protein-coding,WP_003976808.1,branched-chain amino acid ABC transporter permease,310,SLIV_RS27670
NZ_CP009124.1,6191845,6193080,minus,branched-chain amino acid ABC transporter substrate-binding protein,,protein-coding,WP_003976809.1,branched-chain amino acid ABC transporter substrate-binding protein,411,SLIV_RS27675
NZ_CP009124.1,6193368,6193964,minus,hypothetical protein,,protein-coding,WP_003976810.1,hypothetical protein,198,SLIV_RS27680
NZ_CP009124.1,6193961,6194452,minus,hypothetical protein,,protein-coding,WP_003976811.1,hypothetical protein,163,SLIV_RS27685
NZ_CP009124.1,6194853,6195341,minus,hotdog fold thioesterase,,protein-coding,WP_003976812.1,hotdog fold thioesterase,162,SLIV_RS27690
NZ_CP009124.1,6195436,6197715,minus,FdhF/YdeP family oxidoreductase,,protein-coding,WP_003976813.1,FdhF/YdeP family oxidoreductase,759,SLIV_RS27695
NZ_CP009124.1,6197972,6200695,plus,DNA polymerase I,polA,protein-coding,WP_003976814.1,DNA polymerase I,907,SLIV_RS27700
NZ_CP009124.1,6200944,6201312,plus,hypothetical protein,,protein-coding,WP_016325983.1,hypothetical protein,122,SLIV_RS27705
NZ_CP009124.1,6201631,6203424,plus,lytic transglycosylase domain-containing protein,,protein-coding,WP_003976816.1,lytic transglycosylase domain-containing protein,597,SLIV_RS27710
NZ_CP009124.1,6203475,6206276,minus,ATP-dependent RNA helicase,,protein-coding,WP_038534966.1,ATP-dependent RNA helicase,933,SLIV_RS27715
NZ_CP009124.1,6206343,6207005,minus,class I SAM-dependent methyltransferase,,protein-coding,WP_003976818.1,class I SAM-dependent methyltransferase,220,SLIV_RS27720
NZ_CP009124.1,6207530,6209038,plus,30S ribosomal protein S1,rpsA,protein-coding,WP_003976820.1,30S ribosomal protein S1,502,SLIV_RS27725
NZ_CP009124.1,6209196,6210134,plus,PAC2 family protein,,protein-coding,WP_003976821.1,PAC2 family protein,312,SLIV_RS27730
NZ_CP009124.1,6210167,6210769,plus,dephospho-CoA kinase,coaE,protein-coding,WP_003976822.1,dephospho-CoA kinase,200,SLIV_RS27735
NZ_CP009124.1,6210819,6211199,plus,tetratricopeptide repeat protein,,protein-coding,WP_003976823.1,tetratricopeptide repeat protein,126,SLIV_RS27740
NZ_CP009124.1,6211208,6211465,minus,DUF6343 family protein,,protein-coding,WP_016325978.1,DUF6343 family protein,85,SLIV_RS27745
NZ_CP009124.1,6211638,6212324,plus,class I SAM-dependent methyltransferase,,protein-coding,WP_003976825.1,class I SAM-dependent methyltransferase,228,SLIV_RS27750
NZ_CP009124.1,6212386,6212892,plus,DoxX family protein,,protein-coding,WP_003976826.1,DoxX family protein,168,SLIV_RS27755
NZ_CP009124.1,6212944,6213504,minus,RNA-binding S4 domain-containing protein,,protein-coding,WP_003976827.1,RNA-binding S4 domain-containing protein,186,SLIV_RS27760
NZ_CP009124.1,6213621,6214334,plus,uracil-DNA glycosylase,,protein-coding,WP_003976828.1,uracil-DNA glycosylase,237,SLIV_RS27765
NZ_CP009124.1,6214389,6215360,plus,prolyl aminopeptidase,pip,protein-coding,WP_003976829.1,prolyl aminopeptidase,323,SLIV_RS27770
NZ_CP009124.1,6215446,6215961,minus,GNAT family N-acetyltransferase,,protein-coding,WP_003976830.1,GNAT family N-acetyltransferase,171,SLIV_RS27775
NZ_CP009124.1,6215994,6216407,minus,RidA family protein,,protein-coding,WP_016325973.1,RidA family protein,137,SLIV_RS27780
NZ_CP009124.1,6216598,6217380,plus,nucleotidyltransferase domain-containing protein,,protein-coding,WP_003976832.1,nucleotidyltransferase domain-containing protein,260,SLIV_RS27785
NZ_CP009124.1,6217553,6219409,plus,FUSC family protein,,protein-coding,WP_011028078.1,FUSC family protein,618,SLIV_RS27790
NZ_CP009124.1,6219409,6220815,plus,amidohydrolase,,protein-coding,WP_003976835.1,amidohydrolase,468,SLIV_RS27795
NZ_CP009124.1,6220952,6221641,plus,DUF899 domain-containing protein,,protein-coding,WP_003976836.1,DUF899 domain-containing protein,229,SLIV_RS27800
NZ_CP009124.1,6221797,6221979,plus,hypothetical protein,,protein-coding,WP_003976837.1,hypothetical protein,60,SLIV_RS27805
NZ_CP009124.1,6221998,6222432,minus,hypothetical protein,,protein-coding,WP_011028076.1,hypothetical protein,144,SLIV_RS27810
NZ_CP009124.1,6222429,6223142,minus,ATP-binding protein,,protein-coding,WP_011028075.1,ATP-binding protein,237,SLIV_RS27815
NZ_CP009124.1,6223426,6224286,plus,helix-turn-helix domain-containing protein,,protein-coding,WP_003976840.1,helix-turn-helix domain-containing protein,286,SLIV_RS27820
NZ_CP009124.1,6224287,6224562,plus,DUF397 domain-containing protein,,protein-coding,WP_003976841.1,DUF397 domain-containing protein,91,SLIV_RS27825
NZ_CP009124.1,6224713,6226203,minus,glutamate synthase subunit beta,,protein-coding,WP_003976842.1,glutamate synthase subunit beta,496,SLIV_RS27830
NZ_CP009124.1,6226366,6226845,minus,DUF1772 domain-containing protein,,protein-coding,WP_003976843.1,DUF1772 domain-containing protein,159,SLIV_RS27835
NZ_CP009124.1,6227060,6227692,plus,hypothetical protein,,protein-coding,WP_003976844.1,hypothetical protein,210,SLIV_RS27840
NZ_CP009124.1,6227711,6228838,minus,magnesium and cobalt transport protein CorA,,protein-coding,WP_016325969.1,magnesium and cobalt transport protein CorA,375,SLIV_RS27845
NZ_CP009124.1,6229084,6229878,plus,methyltransferase domain-containing protein,,protein-coding,WP_003976846.1,methyltransferase domain-containing protein,264,SLIV_RS27850
NZ_CP009124.1,6229892,6230827,minus,carbohydrate kinase family protein,,protein-coding,WP_003976847.1,carbohydrate kinase family protein,311,SLIV_RS27855
NZ_CP009124.1,6230824,6231729,minus,pseudouridine-5'-phosphate glycosidase,,protein-coding,WP_003976848.1,pseudouridine-5'-phosphate glycosidase,301,SLIV_RS27860
NZ_CP009124.1,6231871,6232299,plus,VOC family protein,,protein-coding,WP_030866702.1,VOC family protein,142,SLIV_RS27865
NZ_CP009124.1,6232324,6232878,minus,methylated-DNA--[protein]-cysteine S-methyltransferase,,protein-coding,WP_003976850.1,methylated-DNA--[protein]-cysteine S-methyltransferase,184,SLIV_RS27870
NZ_CP009124.1,6232916,6233785,minus,glycerophosphodiester phosphodiesterase,,protein-coding,WP_003976851.1,glycerophosphodiester phosphodiesterase,289,SLIV_RS27875
NZ_CP009124.1,6234077,6234955,plus,MHYT domain-containing protein,,protein-coding,WP_003976852.1,MHYT domain-containing protein,292,SLIV_RS27880
NZ_CP009124.1,6234995,6237133,plus,excinuclease ABC subunit UvrB,uvrB,protein-coding,WP_003976853.1,excinuclease ABC subunit UvrB,712,SLIV_RS27885
NZ_CP009124.1,6237276,6237854,plus,TerD family protein,,protein-coding,WP_003976854.1,TerD family protein,192,SLIV_RS27890
NZ_CP009124.1,6237979,6239994,plus,TerD family protein,,protein-coding,WP_038534975.1,TerD family protein,671,SLIV_RS27895
NZ_CP009124.1,6240247,6241248,plus,TerC family protein,,protein-coding,WP_003976856.1,TerC family protein,333,SLIV_RS27900
NZ_CP009124.1,6241381,6242481,plus,calcium:proton antiporter,,protein-coding,WP_003976857.1,calcium:proton antiporter,366,SLIV_RS27905
NZ_CP009124.1,6242572,6243045,plus,type II 3-dehydroquinate dehydratase,aroQ,protein-coding,WP_003976858.1,type II 3-dehydroquinate dehydratase,157,SLIV_RS27910
NZ_CP009124.1,6243257,6243913,minus,MBL fold metallo-hydrolase,,protein-coding,WP_003976859.1,MBL fold metallo-hydrolase,218,SLIV_RS27915
NZ_CP009124.1,6243974,6244660,minus,maleylpyruvate isomerase family mycothiol-dependent enzyme,,protein-coding,WP_011028067.1,maleylpyruvate isomerase family mycothiol-dependent enzyme,228,SLIV_RS27920
NZ_CP009124.1,6244884,6247928,plus,excinuclease ABC subunit UvrA,uvrA,protein-coding,WP_003976861.1,excinuclease ABC subunit UvrA,1014,SLIV_RS27925
NZ_CP009124.1,6248330,6249238,minus,carbohydrate kinase family protein,,protein-coding,WP_003976862.1,carbohydrate kinase family protein,302,SLIV_RS27930
NZ_CP009124.1,6249235,6250341,minus,LacI family DNA-binding transcriptional regulator,,protein-coding,WP_003976863.1,LacI family DNA-binding transcriptional regulator,368,SLIV_RS27935
NZ_CP009124.1,6250564,6250989,plus,Rieske (2Fe-2S) protein,,protein-coding,WP_003976864.1,Rieske (2Fe-2S) protein,141,SLIV_RS27940
NZ_CP009124.1,6251007,6251957,minus,hypothetical protein,,protein-coding,WP_003976865.1,hypothetical protein,316,SLIV_RS27945
NZ_CP009124.1,6252310,6254496,plus,excinuclease ABC subunit UvrC,uvrC,protein-coding,WP_003976866.1,excinuclease ABC subunit UvrC,728,SLIV_RS27950
NZ_CP009124.1,6254493,6255536,plus,RNase adapter RapZ,rapZ,protein-coding,WP_003976867.1,RNase adapter RapZ,347,SLIV_RS27955
NZ_CP009124.1,6255544,6256635,plus,gluconeogenesis factor YvcK family protein,,protein-coding,WP_011028061.1,gluconeogenesis factor YvcK family protein,363,SLIV_RS27960
NZ_CP009124.1,6256626,6257618,plus,DNA-binding protein WhiA,whiA,protein-coding,WP_003976869.1,DNA-binding protein WhiA,330,SLIV_RS27965
NZ_CP009124.1,6257813,6260812,plus,M14 family metallopeptidase,,protein-coding,WP_003976870.1,M14 family metallopeptidase,999,SLIV_RS27970
NZ_CP009124.1,6261040,6262050,plus,type I glyceraldehyde-3-phosphate dehydrogenase,gap,protein-coding,WP_003976871.1,type I glyceraldehyde-3-phosphate dehydrogenase,336,SLIV_RS27975
NZ_CP009124.1,6262185,6263396,plus,phosphoglycerate kinase,,protein-coding,WP_003976872.1,phosphoglycerate kinase,403,SLIV_RS27980
NZ_CP009124.1,6263402,6264178,plus,triose-phosphate isomerase,tpiA,protein-coding,WP_003976873.1,triose-phosphate isomerase,258,SLIV_RS27985
NZ_CP009124.1,6264324,6264560,plus,preprotein translocase subunit SecG,secG,protein-coding,WP_016325957.1,preprotein translocase subunit SecG,78,SLIV_RS27990
NZ_CP009124.1,6264774,6265109,plus,RNA polymerase-binding protein RbpA,,protein-coding,WP_003976875.1,RNA polymerase-binding protein RbpA,111,SLIV_RS27995
NZ_CP009124.1,6265225,6266880,plus,glucose-6-phosphate isomerase,pgi,protein-coding,WP_003976876.1,glucose-6-phosphate isomerase,551,SLIV_RS28000
NZ_CP009124.1,6266990,6267958,plus,proline-rich domain-containing protein,,protein-coding,WP_003976877.1,proline-rich domain-containing protein,322,SLIV_RS28005
NZ_CP009124.1,6268091,6268825,plus,thioredoxin domain-containing protein,,protein-coding,WP_003976878.1,thioredoxin domain-containing protein,244,SLIV_RS28010
NZ_CP009124.1,6268888,6269673,minus,6-phosphogluconolactonase,pgl,protein-coding,WP_003976879.1,6-phosphogluconolactonase,261,SLIV_RS28015
NZ_CP009124.1,6269670,6270725,minus,glucose-6-phosphate dehydrogenase assembly protein OpcA,opcA,protein-coding,WP_003976880.1,glucose-6-phosphate dehydrogenase assembly protein OpcA,351,SLIV_RS28020
NZ_CP009124.1,6270722,6272245,minus,glucose-6-phosphate dehydrogenase,zwf,protein-coding,WP_003976881.1,glucose-6-phosphate dehydrogenase,507,SLIV_RS39600
NZ_CP009124.1,6272249,6273367,minus,transaldolase,tal,protein-coding,WP_003976882.1,transaldolase,372,SLIV_RS39605
NZ_CP009124.1,6273402,6275489,minus,transketolase,tkt,protein-coding,WP_003976883.1,transketolase,695,SLIV_RS28035
NZ_CP009124.1,6275860,6276813,plus,heme o synthase,,protein-coding,WP_003976885.1,heme o synthase,317,SLIV_RS28040
NZ_CP009124.1,6276901,6277269,plus,hypothetical protein,,protein-coding,WP_038534985.1,hypothetical protein,122,SLIV_RS28045
NZ_CP009124.1,6277384,6278490,plus,amidohydrolase family protein,,protein-coding,WP_003976887.1,amidohydrolase family protein,368,SLIV_RS28050
NZ_CP009124.1,6278530,6279273,plus,nucleotidyltransferase domain-containing protein,,protein-coding,WP_234308169.1,nucleotidyltransferase domain-containing protein,247,SLIV_RS28055
NZ_CP009124.1,6279228,6280250,minus,COX15/CtaA family protein,,protein-coding,WP_381765410.1,COX15/CtaA family protein,340,SLIV_RS28060
NZ_CP009124.1,6280305,6281114,minus,ABC transporter permease,,protein-coding,WP_003976890.1,ABC transporter permease,269,SLIV_RS28065
NZ_CP009124.1,6281111,6282034,minus,ABC transporter ATP-binding protein,,protein-coding,WP_003976891.1,ABC transporter ATP-binding protein,307,SLIV_RS28070
NZ_CP009124.1,6282111,6282899,minus,aminoglycoside N(3)-acetyltransferase,,protein-coding,WP_003976892.1,aminoglycoside N(3)-acetyltransferase,262,SLIV_RS28075
NZ_CP009124.1,6283071,6283829,plus,helix-turn-helix transcriptional regulator,,protein-coding,WP_003976893.1,helix-turn-helix transcriptional regulator,252,SLIV_RS28080
NZ_CP009124.1,6283826,6285247,plus,Fe-S cluster assembly protein SufB,sufB,protein-coding,WP_003976894.1,Fe-S cluster assembly protein SufB,473,SLIV_RS28085
NZ_CP009124.1,6285308,6286492,plus,Fe-S cluster assembly protein SufD,sufD,protein-coding,WP_003976895.1,Fe-S cluster assembly protein SufD,394,SLIV_RS28090
NZ_CP009124.1,6286489,6286806,plus,non-heme iron oxygenase ferredoxin subunit,,protein-coding,WP_003976896.1,non-heme iron oxygenase ferredoxin subunit,105,SLIV_RS28095
NZ_CP009124.1,6286814,6287578,plus,Fe-S cluster assembly ATPase SufC,sufC,protein-coding,WP_003976897.1,Fe-S cluster assembly ATPase SufC,254,SLIV_RS28100
NZ_CP009124.1,6287575,6288831,plus,cysteine desulfurase,,protein-coding,WP_003976898.1,cysteine desulfurase,418,SLIV_RS28105
NZ_CP009124.1,6288849,6289319,plus,Fe-S cluster assembly sulfur transfer protein SufU,sufU,protein-coding,WP_003976899.1,Fe-S cluster assembly sulfur transfer protein SufU,156,SLIV_RS28110
NZ_CP009124.1,6289316,6289648,plus,metal-sulfur cluster assembly factor,,protein-coding,WP_003976900.1,metal-sulfur cluster assembly factor,110,SLIV_RS28115
NZ_CP009124.1,6289767,6290087,plus,DMT family transporter,,protein-coding,WP_003976901.1,DMT family transporter,106,SLIV_RS28120
NZ_CP009124.1,6290087,6290680,plus,TetR/AcrR family transcriptional regulator,,protein-coding,WP_003976902.1,TetR/AcrR family transcriptional regulator,197,SLIV_RS28125
NZ_CP009124.1,6290690,6291679,plus,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",dapD,protein-coding,WP_003976903.1,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",329,SLIV_RS28130
NZ_CP009124.1,6291730,6292458,minus,DNA alkylation repair protein,,protein-coding,WP_003976904.1,DNA alkylation repair protein,242,SLIV_RS28135
NZ_CP009124.1,6292514,6292707,minus,uncharacterized gene,,pseudogene,,,,SLIV_RS28140
NZ_CP009124.1,6292828,6293094,plus,membrane protein,,protein-coding,WP_003976906.1,membrane protein,88,SLIV_RS28145
NZ_CP009124.1,6293079,6293996,minus,4-hydroxy-tetrahydrodipicolinate synthase,dapA,protein-coding,WP_016325946.1,4-hydroxy-tetrahydrodipicolinate synthase,305,SLIV_RS28150
NZ_CP009124.1,6294178,6294597,plus,phage holin family protein,,protein-coding,WP_003976908.1,phage holin family protein,139,SLIV_RS28155
NZ_CP009124.1,6294594,6295058,plus,DUF3618 domain-containing protein,,protein-coding,WP_038534992.1,DUF3618 domain-containing protein,154,SLIV_RS28160
NZ_CP009124.1,6295215,6295922,plus,antibiotic biosynthesis monooxygenase,,protein-coding,WP_003976910.1,antibiotic biosynthesis monooxygenase,235,SLIV_RS28165
NZ_CP009124.1,6295953,6297794,minus,endonuclease/exonuclease/phosphatase family protein,,protein-coding,WP_003976911.1,endonuclease/exonuclease/phosphatase family protein,613,SLIV_RS28170
NZ_CP009124.1,6298011,6299438,plus,hypothetical protein,,protein-coding,WP_003976912.1,hypothetical protein,475,SLIV_RS28175
NZ_CP009124.1,6299856,6301316,plus,PhoX family protein,,protein-coding,WP_003976913.1,PhoX family protein,486,SLIV_RS28185
NZ_CP009124.1,6301366,6301434,plus,tRNA-Ser,,tRNA,,,,SLIV_RS39860
NZ_CP009124.1,6301815,6303416,plus,TROVE domain-containing protein,,protein-coding,WP_003976914.1,TROVE domain-containing protein,533,SLIV_RS28190
